date,avg-temp,h,k,avg-wind,h,k
2025/12/6,5.6,8,1,2.0,8,1
2025/12/7,7.5,8,1,2.0,8,1
2025/12/8,10.0,8,1,2.4,8,1
2025/12/9,9.0,8,1,3.6,8,1
2025/12/10,6.7,8,1,1.6,8,1
2025/12/11,7.4,8,1,1.9,8,1
2025/12/12,5.7,8,1,5.3,8,1
2025/12/13,4.9,8,1,2.6,8,1
2025/12/14,5.0,8,1,1.9,8,1
2025/12/15,8.3,8,1,4.5,8,1
2025/12/16,6.7,8,1,2.2,8,1
2025/12/17,7.3,8,1,1.8,8,1
2025/12/18,8.6,8,1,4.0,8,1
2025/12/19,5.9,8,1,1.7,8,1
2025/12/20,7.2,8,1,1.1,8,1
2025/12/21,9.7,8,1,1.6,8,1
2025/12/22,8.5,8,1,5.4,8,1
2025/12/23,4.0,8,1,1.4,8,1
2025/12/24,5.9,8,1,1.4,8,1
2025/12/25,8.5,8,1,1.4,8,1
2025/12/26,5.5,8,1,4.5,8,1
2025/12/27,2.9,8,1,2.9,8,1
2025/12/28,4.1,8,1,2.1,8,1
2025/12/29,5.2,8,1,1.9,8,1
2025/12/30,7.3,8,1,1.6,8,1
2025/12/31,7.3,8,1,2.1,8,1
2026/1/1,5.0,8,1,1.9,8,1
2026/1/2,3.6,8,1,2.3,8,1
2026/1/3,3.9,8,1,3.0,8,1
2026/1/4,4.9,8,1,2.7,8,1
2026/1/5,4.7,8,1,2.4,8,1
2026/1/6,5.1,8,1,4.4,8,1
2026/1/7,1.4,8,1,1.7,8,1
2026/1/8,2.5,8,1,3.9,8,1
2026/1/9,3.5,8,1,2.6,8,1
2026/1/10,4.4,8,1,1.8,8,1
2026/1/11,5.4,8,1,4.9,8,1
2026/1/12,3.7,8,1,2.9,8,1
2026/1/13,6.0,8,1,2.8,8,1
2026/1/14,6.5,8,1,4.2,8,1
2026/1/15,5.5,8,1,2.1,8,1
2026/1/16,8.7,8,1,3.1,8,1
2026/1/17,8.3,8,1,2.1,8,1
2026/1/18,8.5,8,1,3.7,8,1
2026/1/19,7.3,8,1,1.3,8,1
2026/1/20,4.6,8,1,6.6,8,1
2026/1/21,2.4,8,1,4.0,8,1
2026/1/22,1.4,8,1,3.7,8,1
2026/1/23,2.1,8,1,2.2,8,1
2026/1/24,2.9,8,1,2.4,8,1
2026/1/25,2.4,8,1,4.7,8,1
2026/1/26,2.5,8,1,2.7,8,1
2026/1/27,4.6,8,1,2.2,8,1
2026/1/28,5.1,8,1,4.1,8,1
2026/1/29,3.5,8,1,2.6,8,1
2026/1/30,2.8,8,1,4.2,8,1
2026/1/31,2.5,8,1,2.9,8,1
2026/2/1,4.3,8,1,2.2,8,1
2026/2/2,5.3,8,1,2.7,8,1
2026/2/3,5.0,8,1,4.1,8,1
2026/2/4,5.1,8,1,1.9,8,1
2026/2/5,6.5,8,1,1.5,8,1
2026/2/6,7.5,8,1,3.1,8,1
2026/2/7,3.5,8,1,4.5,8,1
2026/2/8,-1.1,8,1,2.9,8,1
2026/2/9,2.0,8,1,3.8,8,1
2026/2/10,3.5,8,1,1.5,8,1
2026/2/11,5.4,8,1,2.3,8,1
2026/2/12,7.2,8,1,3.8,8,1
2026/2/13,6.6,8,1,2.1,8,1
2026/2/14,8.0,8,1,1.6,8,1
2026/2/15,11.1,8,1,1.9,8,1
2026/2/16,10.7,8,1,5.1,8,1
2026/2/17,6.3,8,1,2.7,8,1
2026/2/18,7.5,8,1,2.7,8,1
2026/2/19,4.5,8,1,5.6,8,1
2026/2/20,3.9,8,1,1.8,8,1
2026/2/21,7.7,8,1,1.8,8,1
2026/2/22,10.5,8,1,2.0,8,1
2026/2/23,13.8,8,1,2.4,8,1
2026/2/24,12.5,8,1,2.3,8,1
2026/2/25,9.5,8,1,1.8,8,1
2026/2/26,9.2,8,1,1.7,8,1
2026/2/27,12.4,8,1,1.6,8,1
2026/2/28,13.5,8,1,5.3,8,1
2026/3/1,12.3,8,1,4.6,8,1
2026/3/2,10.3,8,1,2.3,8,1
2026/3/3,7.4,8,1,1.9,8,1
2026/3/4,8.7,8,1,6.0,8,1
2026/3/5,9.1,8,1,6.5,8,1
2026/3/6,7.6,8,1,1.5,8,1
2026/3/7,10.1,8,1,5.1,8,1
2026/3/8,6.4,8,1,5.8,8,1
2026/3/9,7.1,8,1,2.4,8,1
2026/3/10,5.1,8,1,2.8,8,1
2026/3/11,6.4,8,1,2.4,8,1
2026/3/12,7.7,8,1,2.7,8,1
2026/3/13,7.5,8,1,3.1,8,1
2026/3/14,10.3,8,1,2.8,8,1
2026/3/15,10.4,8,1,2.3,8,1
2026/3/16,10.8,8,1,2.4,8,1
2026/3/17,11.0,8,1,2.4,8,1
2026/3/18,11.7,8,1,1.8,8,1
2026/3/19,14.0,8,1,4.4,8,1
2026/3/20,8.8,8,1,2.4,8,1
