date,title,icon
2026/03/13,はま寿司,🍣
2026/03/13,図書館,📚️
2026/03/12,フォントを書こう！,✏
2026/03/12,5000歩以下,😪
2026/03/11,1万歩を超えた,🚶🏻‍➡️
2026/03/10,1万歩を超えた,🚶🏻‍➡️
2026/03/10,有酸素運動目標を超過,⚠️
2026/03/10,マクドナルド,🍔
2026/03/10,猫を目撃,🐈
2026/03/09,5000歩以下,😪
2026/03/09,睡眠スコアが悪い,💀
2026/03/08,1万歩を超えた,🚶🏻‍➡️
2026/03/08,温泉,♨
2026/03/07,有酸素運動目標を達成,✅
2026/03/07,5000歩以下,😪
2026/03/06,有酸素運動目標を達成,✅
2026/03/06,鍋,🍲
2026/03/05,有酸素運動目標を達成,✅
2026/03/05,5000歩以下,😪
2026/03/04,有酸素運動目標を達成,✅
2026/03/04,1万歩を超えた,🚶🏻‍➡️
2026/03/04,猫を目撃,🐈
2026/03/02,有酸素運動目標を達成,✅
2026/03/01,有酸素運動目標を達成,✅
2026/02/28,珈琲舘に行った,☕️
2026/02/27,1万歩を超えた,🚶🏻‍➡️
2026/02/27,猫を目撃,🐈
2026/02/27,飲んだ「シュェップス メロンソーダ」,🥤
2026/02/26,1万歩を超えた,🚶🏻‍➡️
2026/02/26,読んだ「 花四段といっしょ（1）」,📕
2026/02/26,ラジオ体操をやった,🙆‍♂️
2026/02/23,有酸素運動目標を超過,⚠️
2026/02/23,「こどもの時間」上映会,🎦
2026/02/23,聞こえた「マーラー 交響曲第7番 「夜の歌」」,🎶
2026/02/23,聞こえた「うれしいひなまつり」,🎶
2026/02/23,1万歩を超えた,🚶🏻‍➡️
2026/02/22,有酸素運動目標を達成,✅
2026/02/22,睡眠スコアが悪い,💀
2026/02/22,猫を目撃,🐈
2026/02/22,読んでる「粉瘤息子都落ち択」,📕
2026/02/22,読んだ「ちひろさん」1巻,📕
2026/02/22,好きなChrome拡張「Merge Windows」,💻
2026/02/21,有酸素運動目標を達成,✅
2026/02/21,ラジオ体操をやった,🙆‍♂️
2026/02/21,ピザを食べた,🍕
2026/02/21,LAT-RC01BKを買った,🛒
2026/02/20,有酸素運動目標を達成,✅
2026/02/20,ピザを食べた,🍕
2026/02/20,サイクリング,🚲
2026/02/20,NUROモバイルにMNPした,📱
2026/02/19,オーラルB すみずみクリーンを買った,🪥
2026/02/19,mogr,🐹
2026/02/18,有酸素運動目標を達成,✅
2026/02/18,Tile Slimの代替を買った,🛒
2026/02/18,1万歩を超えた,🚶🏻‍➡️
2026/02/17,有酸素運動目標を達成,✅
2026/02/17,飲んだ「エナジージム」,🥤
2026/02/17,1万歩を超えた,🚶🏻‍➡️
2026/02/16.買った「トランジション」,📕
2026/02/14,有酸素運動目標を超過,⚠️
2026/02/14,買った「ウォークス　歩くことの精神史」,📕
2026/02/14,買った「暗闇のなかの希望」,📕
2026/02/14,買った「ハーフリアル: 虚実のあいだのビデオゲーム」,📕
2026/02/13,睡眠スコアが悪い,💀
2026/02/13,買った「ずっと幸せなら本なんて読まなかった」,📕
2026/02/13,買った「symcode バーコードリーダー」,🛒
2026/02/12,温泉,♨
2026/02/12,1万歩を超えた,🚶🏻‍➡️
2026/02/11,ラジオ体操をやった,🙆‍♂️
2026/02/09,睡眠スコアが悪い,💀
2026/02/08,有酸素運動目標を達成,✅
2026/02/08,1万歩を超えた,🚶🏻‍➡️
2026/02/04,有酸素運動目標を達成,✅
2026/02/03,有酸素運動目標を超過,⚠️
2026/02/03,1万歩を超えた,🚶🏻‍➡️
2026/02/02,有酸素運動目標を超過,⚠️
2026/02/02,1万歩を超えた,🚶🏻‍➡️
2026/02/01,有酸素運動目標を達成,✅
2026/01/31,有酸素運動目標を超過,⚠️
2026/01/30,有酸素運動目標を達成,✅
2026/01/30,睡眠スコアが悪い,💀
2026/01/30,1万歩を超えた,🚶🏻‍➡️
2026/01/29,有酸素運動目標を超過,⚠️
2026/01/29,1万歩を超えた,🚶🏻‍➡️
