date,steps
2025-12-01,15407
2025-12-02,13352
2025-12-03,17915
2025-12-04,12465
2025-12-05,14543
2025-12-06,4945
2025-12-07,16566
2025-12-08,14152
2025-12-09,14546
2025-12-10,11574
2025-12-11,9104
2025-12-12,14875
2025-12-13,11670
2025-12-14,10634
2025-12-15,13557
2025-12-16,10775
2025-12-17,15771
2025-12-18,11034
2025-12-19,19042
2025-12-20,11913
2025-12-21,12207
2025-12-22,12793
2025-12-23,11806
2025-12-24,14851
2025-12-25,12068
2025-12-26,10815
2025-12-27,5818
2025-12-28,15630
2025-12-29,11462
2025-12-30,11123
2025-12-31,8806
2026-01-01,8176
2026-01-02,10551
2026-01-03,5063
2026-01-04,18198
2026-01-05,7221
2026-01-06,10691
2026-01-07,15269
2026-01-08,2761
2026-01-09,9991
2026-01-10,10318
2026-01-11,6514
2026-01-12,7952
2026-01-13,10405
2026-01-14,8257
2026-01-15,10854
2026-01-16,15208
2026-01-17,18677
2026-01-18,8791
2026-01-19,10656
2026-01-20,4717
2026-01-21,2935
2026-01-22,11245
2026-01-23,10418
2026-01-24,8077
2026-01-25,12235
2026-01-26,8275
2026-01-27,12357
2026-01-28,13450
2026-01-29,23983
2026-01-30,12178
2026-01-31,9692
2026-02-01,9394
2026-02-02,15101
2026-02-03,22892
2026-02-04,6419
2026-02-05,4341
2026-02-06,11584
2026-02-07,6585
2026-02-08,20849
2026-02-09,8253
2026-02-10,10034
2026-02-11,5719
2026-02-12,21052
2026-02-13,7472
2026-02-14,8476
2026-02-15,3819
2026-02-16,2745
2026-02-17,14516
2026-02-18,10547
2026-02-19,9589
2026-02-20,9642
2026-02-21,6743
2026-02-22,5185
2026-02-23,14397
2026-02-24,12077
2026-02-25,10370
2026-02-26,11369
2026-02-27,12892
2026-02-28,9779
2026-03-01,9355
2026-03-02,5307
2026-03-03,3417
2026-03-04,20728
2026-03-05,2696
2026-03-06,8611
2026-03-07,3814
2026-03-08,15296
2026-03-09,3167
2026-03-10,14168
2026-03-11,12175
2026-03-12,3340
2026-03-13,10888
2026-03-14,10963
2026-03-15,12168
2026-03-16,6681
2026-03-17,3642
2026-03-18,6892
2026-03-19,3925
2026-03-20,6171
2026-03-21,7249
2026-03-22,5934
2026-03-23,6388
2026-03-24,6225
2026-03-25,4125
2026-03-26,10149
2026-03-27,5659
